rank_order,resource,request_count,total_bytes,created_at
1,/images/NASA-logosmall.gif,208798,131778402,2026-08-19 19:51:56
2,/images/KSC-logosmall.gif,164976,169364272,2026-08-19 19:51:56
3,/images/MOSAIC-logosmall.gif,127916,40594653,2026-08-19 19:51:56
4,/images/USA-logosmall.gif,127082,25993422,2026-08-19 19:51:56
5,/images/WORLD-logosmall.gif,125933,73796052,2026-08-19 19:51:56
6,/images/ksclogo-medium.gif,121580,629750296,2026-08-19 19:51:56
7,/ksc.html,83918,563742661,2026-08-19 19:51:56
8,/images/launch-logo.gif,76009,114690489,2026-08-19 19:51:56
9,/history/apollo/images/apollo-logo1.gif,68898,71784081,2026-08-19 19:51:56
10,/shuttle/countdown/,64740,255164345,2026-08-19 19:51:56
11,/,63256,400131549,2026-08-19 19:51:56
12,/images/ksclogosmall.gif,61395,202018760,2026-08-19 19:51:56
13,/shuttle/missions/missions.html,47318,379528351,2026-08-19 19:51:56
14,/images/launchmedium.gif,40689,445755771,2026-08-19 19:51:56
15,/htbin/cdt_main.pl,39873,143972596,2026-08-19 19:51:56
16,/shuttle/missions/sts-69/mission-sts-69.html,31574,317318518,2026-08-19 19:51:56
17,/shuttle/countdown/liftoff.html,29865,112077906,2026-08-19 19:51:56
18,/icons/menu.xbm,29190,13909111,2026-08-19 19:51:56
19,/shuttle/missions/sts-69/sts-69-patch-small.gif,29119,212174151,2026-08-19 19:51:56
20,/icons/blank.xbm,28852,13214149,2026-08-19 19:51:56
